Version,Function Name,Modification Type (Add/Deprecated/Param/Return/Fix),Reason (PerforMance/S-Bug/NS-Bug),Modification Discription,Related Issue,Function Description,Function Link
2.6,prominent_group,A,M,Adds prominent_group function to find prominent group of size k in G according to group_betweenness_centrality.,#4560,Find the prominent group of size  in graph . The prominence of the group is evaluated by the group betweenness centrality.,https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.centrality.prominent_group.html
2.6,barabasi_albert_graph,P,M,New initial_graph argument to barabasi_albert_graph and dual_barabasi_albert_graph to supply an initial graph to the model.,#4659,Returns a random graph using Barabási–Albert preferential attachment,https://networkx.org/documentation/stable/reference/generated/networkx.generators.random_graphs.barabasi_albert_graph.html
2.6,dual_barabasi_albert_graph,P,M,New initial_graph argument to barabasi_albert_graph and dual_barabasi_albert_graph to supply an initial graph to the model.,#4659,Returns a random graph using dual Barabási–Albert preferential attachment,https://networkx.org/documentation/stable/reference/generated/networkx.generators.random_graphs.dual_barabasi_albert_graph.html
2.6,scale_free_graph,F,M,Improved performance of scale_free_graph,-,-,-
2.6,argmap,A,M,Added argmap function to replace the decorator library dependence,#4739,A decorator to apply a map to arguments before calling the function,https://networkx.org/documentation/stable/reference/generated/networkx.utils.decorators.argmap.html
2.6,topological_generations,A,M,Adds topological_generations function for DAG stratification.,#4757,Stratifies a DAG into generations.,https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.dag.topological_generations.html
2.6,draw_networkx_nodes,P,M,Adds margins keyword to draw_networkx_nodes to control node clipping in images with large node sizes.,#4769,Draw the nodes of the graph G.,https://networkx.org/documentation/stable/reference/generated/networkx.drawing.nx_pylab.draw_networkx_nodes.html
2.6,hits,F,M,Use scipy implementation for hits algorithm to improve performance.,-,-,-
2.6,quotient_graph,P,M,partition argument of quotient_graph now accepts dicts,#4183,Returns the quotient graph of G under the specified equivalence relation on nodes.,https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.minors.quotient_graph.html
2.6,spectral_ordering,P,B,Removed tracemin_chol. Use tracemin_lu instead.,#4190,Compute the spectral_ordering of a graph. The spectral ordering of a graph is an ordering of its nodes where nodes in the same weakly connected components appear contiguous and ordered by their corresponding elements in the Fiedler vector of the component.,https://networkx.org/documentation/networkx-1.10/reference/generated/networkx.linalg.algebraicconnectivity.spectral_ordering.html
2.6,to_pandas_edgelist,P,M,Added edge_key parameter for MultiGraphs in to_pandas_edgelist,#4384,Returns the graph edge list as a Pandas DataFrame.,https://networkx.org/documentation/stable/reference/generated/networkx.convert_matrix.to_pandas_edgelist.html
2.6,binomial_tree,P,B,Added create_using parameter to binomial_tree,#4461,Returns the Binomial Tree of order n.,https://networkx.org/documentation/stable/reference/generated/networkx.generators.classic.binomial_tree.html
2.6,partition_quality,P,M,"Deprecate performance and coverage in favor of partition_quality, which computes both metrics simultaneously and is more efficient.",#4536,Returns the coverage and performance of a partition of G.,https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.community.quality.partition_quality.html
2.6,label_propagation_communities,R,M,"label_propagation_communities returns a dict_values object of community sets of nodes instead of a generator of community sets. It is still iterable, so likely will still work in most user code and a simple fix otherwise: e.g., add iter( ... ) surrounding the function call.",#4573,Generates community sets determined by label propagation,https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.community.label_propagation.label_propagation_communities.html
2.6,prefix_tree,R,B,"prefix_tree used to return tree, root but root is now always 0 instead of a UUID generate string. So the function returns tree.",#4545,Creates a directed prefix tree from a list of paths.,https://networkx.org/documentation/stable/reference/generated/networkx.generators.trees.prefix_tree.html
2.6,naive_greedy_modularity_communities,R,B,The function naive_greedy_modularity_communities now returns a list of communities (like greedy_modularity_communities) instead of a generator of communities.,#3620,Find communities in G using greedy modularity maximization.,https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.community.modularity_max.naive_greedy_modularity_communities.html
2.6,communicability_betweeness_centrality,P,B,The unused normalized parameter has been removed from communicability_betweeness_centrality,#4843,Returns subgraph communicability for all pairs of nodes in G.,https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.centrality.communicability_betweenness_centrality.html
2.6,adjacency_matrix,P,M,Added dtype parameter to adjacency_matrix,#4850,Returns adjacency matrix of G.,https://networkx.org/documentation/stable/reference/generated/networkx.linalg.graphmatrix.adjacency_matrix.html
2.6,numeric_mixing_matrix,P,B,Output of numeric_mixing_matrix and degree_mixing_matrix no longer includes rows with all entries zero by default. The functions now accept a parameter mapping keyed by value to row index to identify each row.,#4851,Returns numeric mixing matrix for attribute.,https://networkx.org/documentation/networkx-2.8/reference/algorithms/generated/networkx.algorithms.assortativity.numeric_mixing_matrix.html
2.6,numeric_mixing_matrix,R,B,Output of numeric_mixing_matrix and degree_mixing_matrix no longer includes rows with all entries zero by default. The functions now accept a parameter mapping keyed by value to row index to identify each row.,#4851,Returns numeric mixing matrix for attribute.,https://networkx.org/documentation/networkx-2.8/reference/algorithms/generated/networkx.algorithms.assortativity.numeric_mixing_matrix.html
2.6,degree_mixing_matrix,P,B,Output of numeric_mixing_matrix and degree_mixing_matrix no longer includes rows with all entries zero by default. The functions now accept a parameter mapping keyed by value to row index to identify each row.,#4851,Returns mixing matrix for attribute.,https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.assortativity.degree_mixing_matrix.html
2.6,degree_mixing_matrix,R,B,Output of numeric_mixing_matrix and degree_mixing_matrix no longer includes rows with all entries zero by default. The functions now accept a parameter mapping keyed by value to row index to identify each row.,#4851,Returns mixing matrix for attribute.,https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.assortativity.degree_mixing_matrix.html
2.6,spring_layout,F,B,The function spring_layout now ignores ‘fixed’ nodes not in the graph,-,-,-
2.6,to_numpy_matrix,D,P,Deprecate to_numpy_matrix and from_numpy_matrix,#4238,Return the graph adjacency matrix as a NumPy matrix.,https://networkx.org/documentation/networkx-1.7/reference/generated/networkx.convert.to_numpy_matrix.html
2.6,from_numpy_matrix,D,M,Deprecate to_numpy_matrix and from_numpy_matrix,#4238,Return a graph from numpy matrix. The numpy matrix is interpreted as an adjacency matrix for the graph.,https://networkx.org/documentation/networkx-1.7/reference/generated/networkx.convert.from_numpy_matrix.html
2.6,networkx.utils.misc.is_iterator,D,M,"Deprecate networkx.utils.misc.is_iterator. Use isinstance(obj, collections.abc.Iterator) instead.",#4279,Returns True if and only if the given object is an iterator  object,https://tedboy.github.io/networkx/_modules/networkx/utils/misc.html#iterable
2.6,networkx.utils.misc.is_list_of_ints,D,M,Deprecate networkx.utils.misc.is_list_of_ints as it is no longer used. See networkx.utils.misc.make_list_of_ints for related functionality.,#4280,Return True if list is a list of ints.,https://testfixsphinx.readthedocs.io/en/fix-sphinx/reference/generated/networkx.utils.misc.is_list_of_ints.html
2.6,read_yaml,D,S,Deprecate read_yaml and write_yaml.,#4281,Read graph in YAML format from path. YAML is a data serialization format designed for human readability and interaction with scripting languages,https://networkx.org/documentation/networkx-1.10/reference/generated/networkx.readwrite.nx_yaml.read_yaml.html
2.6,write_yaml,D,S,Deprecate read_yaml and write_yaml.,#4281,Write graph G in YAML format to path. YAML is a data serialization format designed for human readability and interaction with scripting languages,https://networkx.org/documentation/networkx-1.10/reference/generated/networkx.readwrite.nx_yaml.write_yaml.html
2.6,read_gpickle,D,M,Deprecate read_gpickle and write_gpickle,#4282,Read graph object in Python pickle format. Pickles are a serialized byte stream of a Python object. This format will preserve Python objects used as nodes or edges.,https://networkx.org/documentation/networkx-1.10/reference/generated/networkx.readwrite.gpickle.read_gpickle.html
2.6,write_gpickle,D,M,Deprecate read_gpickle and write_gpickle,#4282,Write graph in Python pickle format. Pickles are a serialized byte stream of a Python object. This format will preserve Python objects used as nodes or edges.,https://networkx.org/documentation/networkx-1.10/reference/generated/networkx.readwrite.gpickle.write_gpickle.html
2.6,read_shp,D,B,"Deprecate read_shp, edges_from_line, and write_shp",#4298,"Generates a networkx.DiGraph from shapefiles. Point geometries are translated into nodes, lines into edges. Coordinate tuples are used as keys. Attributes are preserved, line geometries are simplified into start and end coordinates. Accepts a single shapefile or directory of many shapefiles.",https://networkx.org/documentation/networkx-1.10/reference/generated/networkx.readwrite.nx_shp.read_shp.html
2.6,edges_from_line,D,B,"Deprecate read_shp, edges_from_line, and write_shp",#4298,Generate edges for each line in geom and written as a helper for read_shp,https://testfixsphinx.readthedocs.io/en/latest/_modules/networkx/readwrite/nx_shp.html
2.6,write_shp,D,B,"Deprecate read_shp, edges_from_line, and write_shp",#4298,"Writes a networkx.DiGraph to two shapefiles, edges and nodes. Nodes and edges are expected to have a Well Known Binary (Wkb) or Well Known Text (Wkt) key in order to generate geometries. Also acceptable are nodes with a numeric tuple key (x,y).",https://networkx.org/documentation/networkx-1.10/reference/generated/networkx.readwrite.nx_shp.write_shp.html
2.6,pagerank_numpy,D,M,"Deprecate pagerank_numpy, pagerank_scipy",#4391,Return the PageRank of the nodes in the graph. PageRank computes a ranking of the nodes in the graph G based on the structure of the incoming links. It was originally designed as an algorithm to rank web pages.,https://networkx.org/documentation/networkx-1.8/reference/generated/networkx.algorithms.link_analysis.pagerank_alg.pagerank_numpy.html
2.6,pagerank_scipy,D,M,"Deprecate pagerank_numpy, pagerank_scipy",#4391,Return the PageRank of the nodes in the graph. PageRank computes a ranking of the nodes in the graph G based on the structure of the incoming links. It was originally designed as an algorithm to rank web pages.,https://networkx.org/documentation/networkx-1.10/reference/generated/networkx.algorithms.link_analysis.pagerank_alg.pagerank_scipy.html
2.6,to_pandas_edgelist,P,M,Deprecate unused order parameter in to_pandas_edgelist.,#4384,Returns the graph edge list as a Pandas DataFrame.,https://networkx.org/documentation/stable/reference/generated/networkx.convert_matrix.to_pandas_edgelist.html
2.6,jit_data,D,M,Deprecate jit_data and jit_graph,#4428,Returns data in JIT JSON format.,https://networkx.org/documentation/networkx-2.5/reference/readwrite/generated/networkx.readwrite.json_graph.jit_data.html
2.6,git_graph,D,M,Deprecate jit_data and jit_graph,#4428,Read a graph from JIT JSON.,https://networkx.org/documentation/networkx-2.5/reference/readwrite/generated/networkx.readwrite.json_graph.jit_graph.html
2.6,consume,D,M,Deprecate consume,#4449,Consume the iterator entirely.,https://tedboy.github.io/networkx/generated/networkx.utils.consume.html?highlight=consume#networkx.utils.consume
2.6,iterable,D,M,Deprecate iterable,#4448,Return True if obj is iterable with a well-defined len().,https://tedboy.github.io/networkx/generated/networkx.utils.misc.iterable.html?highlight=iterable
2.6,performance,D,M,Deprecate performance and coverage in favor of parition_quality,#4536,Returns the performance of a partition. The performance of a partition is the ratio of the number of intra-community edges plus inter-community non-edges with the total number of potential edges.,https://tedboy.github.io/networkx/generated/networkx.algorithms.community.quality.performance.html?highlight=performance#networkx.algorithms.community.quality.performance
2.6,coverage,D,M,Deprecate performance and coverage in favor of parition_quality,#4536,Returns the coverage of a partition. The coverage of a partition is the ratio of the number of intra-community edges to the total number of edges in the graph.,https://tedboy.github.io/networkx/generated/networkx.algorithms.community.quality.coverage.html?highlight=coverage#networkx.algorithms.community.quality.coverage
2.6,generate_unique_node,D,B,Deprecate generate_unique_node,#4545,Generate a unique node label.,https://networkx.org/documentation/networkx-1.10/reference/generated/networkx.utils.misc.generate_unique_node.html
2.6,empty_generator,D,B,Deprecate empty_generator.,#4599,Create an empty Generator object,https://github.com/networkx/networkx/pull/4599
2.6,default_opener,D,M,Deprecate default_opener,#4600,Opens filename using system’s default program.,https://networkx.org/documentation/networkx-2.8.3/reference/generated/networkx.utils.misc.default_opener.html
2.6,hub_matrix,D,B,Deprecate hub_matrix and authority_matrix,#4617,Returns the HITS hub matrix.,https://networkx.org/documentation/networkx-2.8.7/reference/algorithms/generated/networkx.algorithms.link_analysis.hits_alg.hub_matrix.html
2.6,authority_matrix,D,B,Deprecate hub_matrix and authority_matrix,#4617,Return the HITS authority matrix.,https://networkx.org/documentation/networkx-1.10/reference/generated/networkx.algorithms.link_analysis.hits_alg.authority_matrix.html
2.6,Ordered,D,M,Deprecate the Ordered graph classes.,#4629,"Consistently ordered variants of the default base classes. The Ordered (Di/Multi/MultiDi) Graphs give a consistent order for reporting of nodes and edges. The order of node reporting agrees with node adding, but for edges, the order is not necessarily the order that the edges were added. The Ordered (Di/Multi/MultiDi) Graphs give a consistent order for reporting of nodes and edges. The order of node reporting agrees with node adding, but for edges, the order is not necessarily the order that the edges were added.",https://networkx.org/documentation/networkx-2.0/reference/classes/ordered.html
2.6,nx_yaml,D,S,The nx_yaml function has been removed along with the dependency on pyyaml. Removal implemented via module __getattr__ to patch security warnings related to pyyaml.Loader.,#4802,Read and write NetworkX graphs in YAML format.,https://networkx.org/documentation/networkx-0.37/networkx.readwrite.nx_yaml-module.html
2.6,preserve_random_state,D,,Deprecate preserve_random_state.,#4826,,
